trialNumber,targetSize,targetDistance,lastTargetX,lastTargetY,currentTargetX,currentTargetY,attemptedX,attemptedY,timeTaken,accuracy,missCount,isHit
1,30,200,-1,-1,1100,400,1094,393,1775,38.53637028471409,0,true
2,30,200,1100,400,800,573.2050807568878,788,569,1799,15.230324035079052,0,true
3,35,300,800,573.2050807568878,749.9999999999999,140.1923788646685,746,147,1146,54.8811255306793,0,true
4,35,240,749.9999999999999,140.1923788646685,1140,400,1140,401,1380,94.28571428571428,0,true
5,30,180,1140,400,990,555.884572681199,989,558,1364,84.40080808199811,0,true
6,30,240,990,555.884572681199,692.1539030917347,520,695,525,1305,61.64477864822214,0,true
7,35,180,692.1539030917347,520,809.9999999999999,244.1154273188011,809,252,1206,54.58437332133612,0,true
8,20,280,809.9999999999999,244.1154273188011,1142.4871130596428,259.9999999999999,1137,261,1179,44.225086526914026,0,true
9,15,300,1142.4871130596428,259.9999999999999,900,700,900,697,1147,60,0,true
10,15,200,900,700,726.7949192431122,500,733,503,1251,8.103413484263,0,true
11,20,300,726.7949192431122,500,640.1923788646684,250.00000000000009,637,253,1263,56.19214360918697,0,true
12,35,180,640.1923788646684,250.00000000000009,990,244.11542731880104,991,242,1145,86.6292640702841,0,true
13,20,180,990,244.11542731880104,1055.884572681199,490,1056,493,1036,69.97780243565505,0,true
14,30,240,1055.884572681199,490,900,640,904,644,1117,62.287638336717464,0,true
15,35,300,900,640,600,400.00000000000006,607,399,1140,59.59389821791152,0,true
