Trial #,Prompt,User Input,Start Time, End Time,Time Taken (s),Total Keystrokes,Character Error Rate [Edit Distance] (%),Accuracy [Edit Distance] (%),WPM,Backspaces
1,the postal service is very slow,the postal service is vry slow,108.5,18712.099999904633,18.60359999990463,27,3.225806451612903,96.7741935483871,19.35109333687273,5
2,movie about a nutty professor,movie about a nutty professor,18712.599999904633,36479,17.766400000095366,26,0,100,19.587536022949614,2
3,I want to hold your hand,i want to hold your hand,36479.40000009537,52971,16.491599999904633,21,4.166666666666666,95.83333333333334,17.463435931120415,3
4,a rattle snake is very poisonous,a rattle snake is very poisonkous,52971.40000009537,73206.40000009537,20.235,28,3.125,96.875,19.5700518902891,0
5,my favorite place to visit,my favorite place to visit,73206.79999995232,91049.29999995232,17.8425,22,0,100,17.486338797814206,0
6,come and see our new car,come and see our new car,91049.5,105966.90000009537,14.917400000095368,19,0,100,19.306313432512287,0
7,dashing through the snow,dashing through the snow,105967.09999990463,119283.40000009537,13.316300000190735,21,0,100,21.627629296116403,0
8,important for political parties,important for political parties,119283.59999990463,139775.90000009537,20.492300000190735,33,0,100,18.153159967233428,7
9,the coronation was very exciting,the coronation was very exciting,139776,157230.09999990463,17.45409999990463,28,0,100,22.000561472782795,0
10,a touchdown in the last minute,a touchdown in the last minute,157230.29999995232,176864.79999995232,19.6345,28,0,100,18.33507346762077,5
11,the chancellor was very boring,the chanvcellor was very boring,176864.90000009537,194406.90000009537,17.542,27,3.3333333333333335,96.66666666666667,21.206247862273397,0
12,head shoulders knees and toes,head shoulders kees and toes,194407.20000004768,210800,16.392799999952317,24,3.4482758620689653,96.55172413793103,20.49680347475583,0
13,soon we will return from the city,soon we will return from the city,210800.09999990463,231816.40000009537,21.016300000190736,28,0,100,18.842517474360665,3
14,prepare for the exam in advance,prepare for the exam in advance,231816.70000004768,251187.59999990463,19.37089999985695,26,0,100,19.20406382784213,1
15,she wears too much makeup,she wears too much makeup,251188,272067.2999999523,20.879299999952316,26,0,100,14.368297787793898,9
