Trial #,Prompt,User Input,Start Time, End Time,Time Taken (s),Total Keystrokes,Character Error Rate [Edit Distance] (%),Accuracy [Edit Distance] (%),WPM,Backspaces
1,can we play cards tonight,can we play cards tonigh,131.70000004768372,5564.5,5.432799999952317,27,4,96,53.01133853676332,0
2,most judges are very honest,most judges are very hones,5565.100000023842,10827.899999976158,5.262799999952316,29,3.7037037037037033,96.29629629629629,59.284031314666514,0
3,traveling to conferences is fun,traveling to conferences is fu,10828.200000047684,18953,8.124799999952316,40,3.225806451612903,96.7741935483871,44.30878298568738,3
4,a thoroughly disgusting thing to say,a thoroughly disgusting thing to sa,18953.399999976158,28037.200000047684,9.083800000071525,41,2.7777777777777777,97.22222222222221,46.23615667415541,1
5,my favorite place to visit,my favorite place to visis,28037.600000023842,35764.39999997616,7.726799999952316,30,3.8461538461538463,96.15384615384616,40.37894082957051,0
6,the early bird gets the worm,the early bird gets the wor,35764.60000002384,42350.89999997616,6.586299999952316,31,3.571428571428571,96.42857142857143,49.193021879104464,0
7,this watch is too expensive,this wathc is too expensiv,42351.200000047684,50054.700000047684,7.7035,39,11.11111111111111,88.88888888888889,40.501070941779716,5
8,tell a lie and your nose will grow,tell a lie and your nose will gro,50054.89999997616,58386.89999997616,8.332,38,2.941176470588235,97.05882352941177,47.527604416706666,0
9,I agree with you,I agree with yo,58387.200000047684,63570.60000002384,5.183399999976158,20,6.25,93.75,34.726241463292034,0
10,it is very windy today,it is very windy toda,63570.800000071526,69146.39999997616,5.575599999904632,25,4.545454545454546,95.45454545454545,45.19692947921485,0
11,we are having spaghetti,we are having spaghett,69146.60000002384,78931,9.784399999976158,30,4.3478260869565215,95.65217391304348,26.981726012902513,2
12,you have my sympathy,you have my sympath,78931.10000002384,85349.20000004768,6.418100000023842,23,5,95,35.52453218228962,0
13,this phenomenon will never occur,this phenomenon will never occu,85349.39999997616,94335.39999997616,8.986,35,3.125,96.875,41.39772980191408,0
14,I want to hold your hand,I want to hold your han,94336.20000004768,101032.30000007153,6.696100000023842,33,4.166666666666666,95.83333333333334,41.21802243082052,3
15,the sum of the parts,the sum of the part,101032.5,107007.30000007153,5.974800000071526,28,5,95,38.16027314676149,3
