trialNumber,totalItemCount,targetCount,startTime,endTime,timeTaken,totalSelections,correctSelections,incorrectSelections,deselectedTargets,deselectedNonTargets,totalCursorDistance,netDeselectRate,targetDeselectRate,netAccuracy
1,10,5,197.39999997615814,5411.399999976158,5.214,5,5,0,0,0,2567.6203318157545,0,0,1
2,11,3,5412,7973.300000011921,2.561300000011921,3,3,0,0,0,1770.5056849065215,0,0,1
3,11,5,7973.800000011921,11790.199999988079,3.816399999976158,5,5,0,0,0,2019.8774227323433,0,0,1
4,12,4,11790.899999976158,14851.099999964237,3.060199999988079,4,4,0,0,0,2122.200589426067,0,0,1
5,13,5,14851.599999964237,19009.399999976158,4.157800000011921,5,5,0,0,0,2617.8181326078925,0,0,1
6,13,5,19009.899999976158,23423.899999976158,4.414,5,5,0,0,0,2671.97745752651,0,0,1
7,15,3,23424.80000001192,25938.19999998808,2.513399999976158,3,3,0,0,0,925.7980820096909,0,0,1
8,11,3,25938.5,28315.30000001192,2.376800000011921,3,3,0,0,0,1387.3246388576981,0,0,1
9,15,4,28315.899999976158,31625.80000001192,3.309900000035763,4,4,0,0,0,3391.029773932927,0,0,1
10,14,5,31626.30000001192,36869.39999997616,5.243099999964238,5,5,0,0,1,2884.872974514615,0.2,0,1
11,14,4,36869.89999997616,39876.80000001192,3.006900000035763,4,4,0,0,0,1508.1459875364985,0,0,1
12,15,3,39877.30000001192,42036.80000001192,2.1595,3,3,0,0,0,2290.5008857723965,0,0,1
13,13,4,42037.19999998808,45339.09999996424,3.301899999976158,4,4,0,0,0,2257.0818067039113,0,0,1
14,12,5,45339.59999996424,49206,3.866400000035763,5,5,0,0,0,3019.039940055669,0,0,1
15,15,4,49206.5,52856.69999998808,3.650199999988079,4,4,0,0,0,2147.5154979268173,0,0,1
16,15,4,52857.09999996424,58727.30000001192,5.870200000047683,4,4,0,0,1,1713.4004284585321,0.25,0,1
17,13,5,58727.69999998808,62746.59999996424,4.018899999976158,5,5,0,0,0,2027.895769924303,0,0,1
18,12,3,62747,65236.30000001192,2.4893000000119208,3,3,0,0,0,2362.567308099115,0,0,1
19,13,6,65237,70579.19999998808,5.342199999988079,6,6,0,0,0,2653.298383039924,0,0,1
20,14,6,70579.59999996424,75053.69999998808,4.474100000023842,6,6,0,0,0,1306.0962563080911,0,0,1
