trialNumber,totalItemCount,targetCount,startTime,endTime,timeTaken,totalSelections,correctSelections,incorrectSelections,deselectedTargets,deselectedNonTargets,totalCursorDistance,netDeselectRate,targetDeselectRate,netAccuracy
1,13,3,226.80000001192093,5383.699999988079,5.156899999976158,3,3,0,0,0,2661.56870119765,0,0,1
2,12,4,5384.399999976158,7970.100000023842,2.5857000000476837,4,4,0,0,0,2739.0069613534415,0,0,1
3,11,6,7970.699999988079,11626.300000011921,3.655600000023842,6,6,0,0,0,2902.0287998596677,0,0,1
4,10,3,11626.800000011921,13430.199999988079,1.803399999976158,3,3,0,0,0,1823.2984344039128,0,0,1
5,15,6,13430.800000011921,16728.100000023842,3.297300000011921,6,6,0,0,0,2695.043492914932,0,0,1
6,12,6,16728.600000023842,20082.69999998808,3.3540999999642374,6,6,0,0,0,2558.163995370332,0,0,1
7,12,5,20083.30000001192,23223.600000023842,3.140300000011921,5,5,0,0,0,2305.5594321932476,0,0,1
8,12,6,23223.899999976158,26774.69999998808,3.550800000011921,6,6,0,0,0,2195.7392554799544,0,0,1
9,12,3,26775.19999998808,28479.69999998808,1.7045,3,3,0,0,0,1048.8125529280417,0,0,1
10,13,6,28480.100000023842,32082.899999976158,3.602799999952316,6,6,0,0,0,2172.6509061479896,0,0,1
11,12,3,32083.399999976158,34462.69999998808,2.379300000011921,3,3,0,0,0,3298.4950717316246,0,0,1
12,12,4,34463.19999998808,37570.30000001192,3.107100000023842,4,4,0,0,0,2480.9086959729316,0,0,1
13,15,4,37570.69999998808,40736.60000002384,3.1659000000357627,4,4,0,0,0,3311.608203860678,0,0,1
14,13,3,40736.80000001192,42826.60000002384,2.089800000011921,3,3,0,0,0,2106.8830709801355,0,0,1
15,11,6,42827.10000002384,46284,3.4568999999761583,6,6,0,0,0,2527.701435859117,0,0,1
16,15,4,46284.5,48998.30000001192,2.713800000011921,4,4,0,0,0,3357.8632106800933,0,0,1
17,14,6,48998.69999998808,53084.10000002384,4.085400000035762,6,6,0,0,0,2946.84332788211,0,0,1
18,10,5,53084.60000002384,55975.39999997616,2.8907999999523164,5,5,0,0,0,1404.1330905112702,0,0,1
19,15,3,55975.89999997616,58334.80000001192,2.3589000000357627,3,3,0,0,0,1816.471830520623,0,0,1
20,13,5,58335.10000002384,60890.19999998808,2.5550999999642374,5,5,0,0,0,1586.9797808234314,0,0,1
