trialNumber,targetSize,targetDistance,lastTargetX,lastTargetY,currentTargetX,currentTargetY,attemptedX,attemptedY,timeTaken,accuracy,missCount,isHit
1,15,280,-1,-1,1180,400,1176,395,1097,14.625010167562019,0,true
2,20,280,1180,400,760,642.4871130596429,762,636,1064,32.115807548009364,0,true
3,15,280,760,642.4871130596429,620,400.00000000000006,617,390,1462,0,0,true
4,35,200,620,400.00000000000006,799.9999999999999,226.79491924311233,776,222,1867,0,0,true
5,30,300,799.9999999999999,226.79491924311233,1159.8076211353314,249.99999999999986,1168,243,1522,28.16219767582369,0,true
6,30,180,1159.8076211353314,249.99999999999986,900,580,890,574,1672,22.25397473539599,0,true
7,35,240,900,580,692.1539030917347,520,700,527,1679,39.91536942927169,0,true
8,20,240,692.1539030917347,520,692.1539030917347,280.00000000000006,685,281,1179,27.765431097063047,0,true
9,20,280,692.1539030917347,280.00000000000006,1040,157.5128869403572,1031,167,951,0,0,true
10,15,280,1040,157.5128869403572,1040,642.4871130596428,1046,646,945,7.2970098473553335,0,true
11,30,300,1040,642.4871130596428,640.1923788646684,550,651,556,908,17.590541372198096,0,true
12,30,200,640.1923788646684,550,900,200,911,214,675,0,0,true
13,15,280,900,200,1180,400,1168,397,848,0,0,true
14,15,180,1180,400,810,555.884572681199,806,560,974,23.479278604394967,0,true
15,35,200,810,555.884572681199,726.7949192431122,300.00000000000006,730,299,1117,80.81451002520434,1,true
